Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.242188,2.453125,2.195313,2.437500,1.005011,141102400
1985-02-01,2.390625,2.507813,2.312500,2.460938,1.014675,131019200
1985-03-01,2.437500,2.632813,2.421875,2.625000,1.090577,149992000
1985-04-01,2.609375,2.796875,2.523438,2.742188,1.139264,183592000
1985-05-01,2.726563,2.960938,2.679688,2.937500,1.220408,136675200
1985-06-01,2.960938,2.992188,2.804688,2.898438,1.212586,113316800
1985-07-01,2.906250,3.070313,2.812500,2.882813,1.206050,150539200
1985-08-01,2.921875,2.968750,2.765625,2.921875,1.222391,104529600
1985-09-01,2.921875,3.000000,2.671875,2.773438,1.168548,111371200
1985-10-01,2.765625,2.984375,2.695313,2.937500,1.237673,128929600
1985-11-01,2.929688,3.164063,2.914063,3.117188,1.313381,224345600
1985-12-01,3.101563,3.453125,3.015625,3.289063,1.394912,171881600
1986-01-01,3.281250,3.375000,3.078125,3.359375,1.424731,132534400
1986-02-01,3.359375,3.437500,2.859375,3.109375,1.318705,576472000
1986-03-01,3.117188,3.656250,3.007813,3.585938,1.530972,274787200
1986-04-01,3.609375,4.335938,3.304688,4.117188,1.757783,318836800
1986-05-01,4.054688,4.406250,4.000000,4.273438,1.824492,161201600
1986-06-01,4.257813,4.609375,4.101563,4.539063,1.947725,143424000
1986-07-01,4.539063,4.554688,4.023438,4.257813,1.827039,174428800
1986-08-01,4.265625,4.656250,4.187500,4.617188,1.981248,144096000
1986-09-01,4.593750,4.617188,3.765625,4.000000,1.724709,194441600
1986-10-01,4.031250,4.382813,3.867188,4.359375,1.879663,123788800
1986-11-01,4.375000,4.429688,4.046875,4.281250,1.845976,130014400
1986-12-01,4.218750,4.500000,4.078125,4.101563,1.777499,170254400
1987-01-01,4.101563,4.929688,4.101563,4.726563,2.048357,249284800
1987-02-01,4.710938,5.531250,4.671875,5.390625,2.336142,193604800
1987-03-01,5.437500,5.906250,5.335938,5.531250,2.407055,208251200
1987-04-01,5.484375,5.757813,5.195313,5.445313,2.369656,224408000
1987-05-01,5.421875,5.648438,5.015625,5.375000,2.339058,148656000
1987-06-01,5.398438,5.953125,5.312500,5.742188,2.511618,133956800
1987-07-01,5.750000,6.046875,5.570313,5.953125,2.603881,159984000
1987-08-01,5.937500,6.585938,5.781250,6.234375,2.726899,175347200
1987-09-01,6.250000,6.281250,5.593750,5.968750,2.621672,219763200
1987-10-01,6.000000,6.218750,3.453125,5.000000,2.196164,344299200
1987-11-01,4.953125,5.039063,4.421875,4.562500,2.003999,143969600
1987-12-01,4.609375,5.023438,4.375000,4.679688,2.066708,153884800
1988-01-01,4.742188,4.992188,4.351563,4.898438,2.163316,242632000
1988-02-01,4.937500,5.218750,4.750000,5.203125,2.297876,147928000
1988-03-01,5.210938,5.414063,4.835938,4.960938,2.202198,156260800
1988-04-01,4.929688,5.257813,4.710938,4.734375,2.101625,148171200
1988-05-01,4.750000,4.875000,4.328125,4.859375,2.157114,147083200
1988-06-01,4.890625,5.109375,4.804688,4.960938,2.217705,178225600
1988-07-01,4.968750,5.023438,4.750000,5.000000,2.235168,108262400
1988-08-01,5.000000,5.148438,4.921875,5.062500,2.263107,120308800
1988-09-01,5.039063,5.421875,4.984375,5.367188,2.414450,123940800
1988-10-01,5.359375,5.507813,5.265625,5.437500,2.446082,109171200
1988-11-01,5.437500,5.500000,5.039063,5.375000,2.417966,113971200
1988-12-01,5.375000,5.468750,5.265625,5.320313,2.407849,87448000
1989-01-01,5.312500,5.750000,5.187500,5.726563,2.591707,131144000
1989-02-01,5.726563,5.765625,5.343750,5.382813,2.436134,111040000
1989-03-01,5.421875,5.843750,5.320313,5.671875,2.581459,144632000
1989-04-01,5.679688,6.054688,5.617188,6.007813,2.734355,108467200
1989-05-01,5.968750,6.468750,5.859375,6.171875,2.809025,137480800
1989-06-01,6.218750,6.718750,5.890625,5.984375,2.739419,131359200
1989-07-01,6.093750,6.781250,5.984375,6.671875,3.054132,106146400
1989-08-01,6.656250,6.671875,6.171875,6.546875,2.996913,137716000
